index,TW_NO,TW_TIME,TW_TEXT,FAV,RT,PERSON,PERSON_LABEL
18,1190604893616128000,2019-11-02 21:21:41,さよならって俺だけじゃないよね？文責山里,1451,127,山里,0
19,1190485478044127232,2019-11-02 13:27:10,ついに明日、さよならたりないふたり、今どうしていたらいいのだろう…分からない、なのでとりあえず若ちゃんのインスタを見たら、ただただ怖くなった…文責山里,1556,121,山里,0
20,1190407949765578752,2019-11-02 08:19:06,あった、30分位だったイメージが…ただ、今回はあの時と舞台にいる時間が違うからねぇ。どれくらい漫才をやるのか？それ次第だと思うけど…前日のやりとりなのかな？これ…文責山里,1025,73,山里,0
21,1190296908482265088,2019-11-02 00:57:52,もっとたりないふたりの時の即興漫才を作ろうみたいなやつやるんじゃないの？あれ制限時間あったよね？文責若林,1165,80,若林,1
22,1190283152142372865,2019-11-02 00:03:12,若ちゃん、ネタ作りの制限時間というものが存在する事すら知らされてないのですが、僕はさらにハイレベルな制裁を受けてるのでしょうか？とにかくみなとみらいへ来て立ち続けろしか情報が…文責山里,1170,98,山里,0
23,1190271898896064517,2019-11-01 23:18:29,ライブ中のネタ作りの制限時間を教えて貰えないのだけど、これは制裁ですか？山ちゃんは知ってる？文責若林,1305,103,若林,1
24,1190240486973296640,2019-11-01 21:13:40,全然ログインできないからパスワード変えられたかと思った。文責若林,1486,100,若林,1
25,1190079855385182213,2019-11-01 10:35:22,すごい情報解禁なのに、すごさが少し減った…原因はあなたよ若林くん文責山里 https://t.co/pI69UIU1zK,1825,211,山里,0
26,1190035132578779137,2019-11-01 07:37:40,おはようございます。挑発だったのか…もう攻撃だと思って避けるのに必死だったよ…文責山里,1025,73,山里,0
27,1189938725234462721,2019-11-01 01:14:34,山里が挑発にのってこないなぁ。結婚するとみんな寝るの早くなるよね。俺もわかります。おやすみなさい。文責若林,2610,201,若林,1
28,1189918912781017088,2019-10-31 23:55:51,早く出囃子流してー。文責若林,1268,107,若林,1
29,1189915463045660672,2019-10-31 23:42:08,鎖が本番までもたなかったか…文責山里,894,81,山里,0
30,1189915263187030022,2019-10-31 23:41:20,断る文責山里,815,67,山里,0
31,1189912558527889409,2019-10-31 23:30:36,生業も刹那もたりないふたり〜さよならたりないふたりVer.〜もみんなちがって、みんないい文責若林 https://t.co/gGxtd1JPF6,2209,270,若林,1
32,1189907003344179200,2019-10-31 23:08:31,スッキリのカメラが来てもらえるかもしれないのは本決まりですか？文責若林 https://t.co/HT6n6aPh0U,1362,146,若林,1
33,1189901146933981185,2019-10-31 22:45:15,フォーーー！文責若林,1682,195,若林,1
34,1189900464390717440,2019-10-31 22:42:32,山ちゃんが5年間大事に自宅に飾ってたたりふたの顔はめパネルがロビーに置かれるという情報の方が良かったですかね？文責若林 https://t.co/peafgBmatX,1466,189,若林,1
35,1189898781103276032,2019-10-31 22:35:51,山ちゃん家で今から一緒にネタ作りできる？文責若林,1628,156,若林,1
36,1189898181343006720,2019-10-31 22:33:28,今のあなたならその場で始めちゃう勢いあるから必死でコソコソしました。それくらい繊細に動いてんのよこっちは…なのにかなり大事な情報解禁まで破って…文責山里,1049,91,山里,0
37,1189896994178785282,2019-10-31 22:28:45,いいね！今日日テレに俺がいると聞いて会わないように走り回ってたらしいじゃないの。メイクさんに聞いたよ。文責若林,1659,149,若林,1
38,1189880909182320640,2019-10-31 21:24:50,[情報解禁]の載ってるページ開いた辞書であなたを殴打してさしあげたい…文責山里,1490,210,山里,0
39,1189871519649783808,2019-10-31 20:47:31,明日以降に情報解禁なのですが、日本一のバトルMC、世界一のバトルDJ、宇宙一の音源でおなじみのCreepy Nutsが、さよならたりないふたりのライブでのみ聴けるヒップホップを提供してくれたらしいです！文責若林,5678,1142,若林,1
40,1189716281991155712,2019-10-31 10:30:40,RT @thetvjp: 「たりないふたり」5年ぶり復活で“さよなら”のワケ企画演出・安島隆氏が語る山里亮太×若林正恭の10年 #たりないふたり #たりふた #ライブ #山里亮太 #若林正恭 #安島隆 @tarinaifutari @takashiajimahttps:…,0,199,山里,0
41,1189567975335923712,2019-10-31 00:41:21,怒ります文責山里,834,64,山里,0
42,1189557070640467974,2019-10-30 23:58:01,情報解禁前にお伝えできる情報がないです。すみません。文責若林,1464,124,若林,1
43,1189554909290516480,2019-10-30 23:49:25,迷ったけど結局過去のたりないふたりの映像は見ないで行くことにしました。文責若林,1045,79,若林,1
44,1189550641133146112,2019-10-30 23:32:28,手持ち無沙汰は続く。今山ちゃんに連絡したら安島さんと山ちゃんとサトミツに怒られるだろうなー。文責若林,1064,81,若林,1
45,1189321029010837504,2019-10-30 08:20:04,あなたの脳内で血まみれの山里が転がっていたのではないでしょうか？とりあえず僕もシャドーしておきます。あと4日でさよならたりないふたり。文責山里,1073,93,山里,0
46,1189223317699485696,2019-10-30 01:51:48,ライブまであと4日。手持ち無沙汰でひとりで稽古場に来たけど、山ちゃんの幻に向かってシャドーボクシングをして帰宅。文責若林,1703,122,若林,1
47,1188953898041536513,2019-10-29 08:01:13,勝手にそんなもん感じるんじゃないよサトミツくん…そんなことない。今回は緊張もあるが、そこにさらに恐怖がある…ねぇ、どうなるのよ？文責山里,973,72,山里,0
48,1188705034617249793,2019-10-28 15:32:19,あと、山ちゃんは5年前までのたりないふたりだとライブ数日前には緊張してたけど、今は余裕と自信を感じるとサトミツが言ってました。文責若林,1633,129,若林,1
49,1188703790821564416,2019-10-28 15:27:23,そういえば、昨日安島さんが今日か明日にライブビューイングの映画館の館数に関するネットニュースが出ると言っていました。なんのサイトだったか聞きそびれてしまいました。たりふたファンの皆さま僕のミスです。すみませんです🙇‍♂️文責若林,1413,109,若林,1
50,1188613936825827328,2019-10-28 09:30:20,ノーサイドにできない傷を負う気が…文責山里,808,66,山里,0
51,1188516920594587648,2019-10-28 03:04:50,ラグビー観戦の後に、安島さんとたりないふたりの打ち合わせという名の面談があり今帰宅しました。早く山ちゃんにジャッカルを決めたいです。文責若林 https://t.co/bfHE0yhumi,2909,259,若林,1
52,1188162839418003457,2019-10-27 03:37:50,全てが敵らしいので応援してあげてください。文責若林,1312,106,若林,1
53,1188157326311575552,2019-10-27 03:15:56,みんな、応援よろしく！文責山里,1022,93,山里,0
54,1187296582758100993,2019-10-24 18:15:38,攻撃がだいぶフライングで始まってますが…こちとらサトミツ君から、ここ最近ずっと若林がニヤニヤしてるという情報しか手に入っておりません…文責山里,1110,89,山里,0
55,1187284722797309952,2019-10-24 17:28:31,俺も聞いたよ。水口Dに「もうたりちゃってますね！」と声をかけられたら「満ち足りてるよね！」って返したらしいじゃないか。文責若林,1619,133,若林,1
56,1187281973703659523,2019-10-24 17:17:35,よく言うよ、聞いたよ「明日でもできる」って言ってるらしいじゃないか。いつだって仕留められるって…文責山里,972,80,山里,0
57,1187279167559069696,2019-10-24 17:06:26,今の山ちゃんに俺がマウント取れることは何もないから今からライブが怖くてたまらないよ。文責若林,1440,114,若林,1
58,1187138246481862656,2019-10-24 07:46:28,祝福？にやけた口元と、動物の剥製のような瞳で？文責山里,1082,88,山里,0
59,1186912046303985664,2019-10-23 16:47:38,そういえば、こんなに祝福しているのに攻撃だと思われているのが悲しい。文責若林,1591,124,若林,1
60,1186127292298186752,2019-10-21 12:49:18,ライブ中のネタ作りパートのところでコンプライアンスのことは聞くから大丈夫よ。文責若林,1070,84,若林,1
61,1185707873147318272,2019-10-20 09:02:41,9ヶ月会わないで、いきなりあなたの攻撃を受けるのでしょうか？恐怖しかありません。なんとかヒントだけでもくれないか？文責山里,1262,88,山里,0
62,1185566104497713153,2019-10-19 23:39:20,今ハッキリした。今年の1月17日から会ってないです。文責若林,1376,104,若林,1
63,1185557859947315202,2019-10-19 23:06:35,記憶が正しければオールナイトの雑誌の対談かボクらの時代から山ちゃんに一度も会ってないです。文責若林,1341,118,若林,1
64,1185038490758594560,2019-10-18 12:42:47,まさかこんな形での攻撃があるなんて…全てが敵なのか？文責山里,847,69,山里,0
65,1185018281410740225,2019-10-18 11:22:29,トゥース！文責若林 https://t.co/ZpZ4rjau0s,3449,415,若林,1
66,1185015377798914048,2019-10-18 11:10:57,山ちゃんがグリーンカレーにつかってます。文責若林 https://t.co/yQrX8KvVPS,2050,242,若林,1
67,1185001934832324608,2019-10-18 10:17:32,なんだ！？その「その確認は！？」は！？文責山里,660,56,山里,0
68,1184702261827518464,2019-10-17 14:26:44,なんだ！この確認は！文責若林 https://t.co/HN28LVv889,2074,227,若林,1
69,1184452207749394432,2019-10-16 21:53:07,ゆっくり俺の顔を踏むんじゃないよ…文責山里,968,72,山里,0
70,1184447089700270080,2019-10-16 21:32:46,相変わらずアンダーマウントポジションから試合を始めるのが上手だなぁ文責若林,1455,106,若林,1
71,1182832752145485824,2019-10-12 10:37:58,たりないふたりのチケットについてのつぶやきを見る、本当にありがたい。当選した人のアカウントを見る、紹介文のところに、高い確率でリトルトゥースという単語が目に飛び込んでくる。まさかアウェイでのぞむことになるのだろうか…文責山里,2358,282,山里,0
72,1182501434442448897,2019-10-11 12:41:26,その答え次第で何か変わるのかい？変わらないだろ？というか、磨いてる武器の姿がハッキリと見えるのですが…文責山里,798,54,山里,0
73,1182272067984474112,2019-10-10 21:30:01,会わないってことでどこまで言っていいかわからないからライブを観にいらっしゃるかだけ事前に教えてね。文責若林,1264,75,若林,1
74,1182234725445857285,2019-10-10 19:01:38,脳内で勝手に私におしゃべりさせないで…文責山里,830,64,山里,0
75,1182219498163621888,2019-10-10 18:01:07,俺は山ちゃんが「今の南キャンの漫才はアドリブが多いから全然大丈夫」って言ってるって聞きました。文責若林,1345,116,若林,1
76,1182216292184424448,2019-10-10 17:48:23,あなたの放つ「やむをえない」きっとニヤニヤを纏わせて言ってたんでしょう？それはもうただのYESよ…文責山里,914,82,山里,0
77,1182213905931620353,2019-10-10 17:38:54,安島さん打ち合わせゼロ漫才確信犯説を支持します。文責若林,989,86,若林,1
78,1182212920496680960,2019-10-10 17:34:59,ちょっと待ってください。打ち合わせゼロの件、俺は「それでも大丈夫」なんて言ってません。正しくは小さい声で「やむを得ないっすね」です。文責若林,1606,135,若林,1
79,1181134101274775552,2019-10-07 18:08:08,たりないふたりファンの皆さん、チケット情報と打ち合わせゼロについてマイナビさんより先にお伝えできずすみませんです。文責若林,2107,208,若林,1
80,1181097665699835905,2019-10-07 15:43:21,山里×若林『たりないふたり』ライブ、“打ち合わせゼロ”で本番へ https://t.co/aC4lTdbI1H #マイナビニュースどうなるのでしょうか？文責山里,1541,243,山里,0
81,1180057249797902336,2019-10-04 18:49:07,こういう状況を楽しんでるところ悪いが、こちら不安だらけです…文責山里,980,78,山里,0
83,1179988303786831872,2019-10-04 14:15:09,ねぇ、相談という行動を知ってる？文責山里 https://t.co/cBwjwUyFbU,1657,203,山里,0
84,1179967618049957888,2019-10-04 12:52:57,ちょっと気が早いですがグッズのTシャツのデザイン案です。文責若林 https://t.co/XXKRw7Awti,1949,194,若林,1
85,1179886374763106305,2019-10-04 07:30:07,ふたりで雑誌の取材とか受けた時もこんな感じだったよ文責山里 https://t.co/Nll6uLnD5l,1185,113,山里,0
86,1179886091043606528,2019-10-04 07:28:59,シェアハウスの恐ろしさはあなたより分かっているつもりです。やめておこう。文責山里,1141,95,山里,0
87,1179781396971184129,2019-10-04 00:32:58,なんだこの表情の差は！文責若林 https://t.co/FU2sUMRbCk,3040,373,若林,1
88,1179634418853433344,2019-10-03 14:48:56,じゃあ、しずちゃんと4人で住むっていうのはどうかな？文責若林,1959,195,若林,1
89,1179604024015769601,2019-10-03 12:48:09,他の解決策を探してくれないか？若林くん、なんか噂では肩を抱きたいとか言ってるそうじゃないの…困るよ。そして、時間がないのはそっちもでしょ？何か方法はないかね？文責山里,1693,187,山里,0
90,1179592273157210113,2019-10-03 12:01:28,そんなことより山ちゃんレギュラー16本でライブもあるから忙しくて会える日が無いらしいよ。11月3日まで一緒に住んでもいい？文責若林,2590,340,若林,1
91,1179569614033842181,2019-10-03 10:31:25,今だったんだよ…文責山里,980,94,山里,0
92,1179455981626875905,2019-10-03 02:59:53,僕のせいではないです。文責山里,915,76,山里,0
93,1179440529911644160,2019-10-03 01:58:29,すげぇなぁ。本当トークがたりないでやってた妄想恋愛だな。現実なんだな。文責若林,1129,92,若林,1
94,1179432605231587328,2019-10-03 01:27:00,匂わせクイズ、カレー。さすが。文責若林,1124,115,若林,1
95,1179431976354373632,2019-10-03 01:24:30,ボス…情報解禁はまだです。文責若林ナタリー,1594,207,若林,1
96,1179411760534700034,2019-10-03 00:04:10,どの車にご乗車予定かは深く聞きません、そんな事より重大なミスがあるからその事で動揺しています…もう匂わせどころの騒ぎじゃない、お知らせだよ…文責山里,1343,172,山里,0
97,1179406066423095303,2019-10-02 23:41:33,11月3日（日）横浜で最後の漫才楽しみましょう。帰り車乗っけてってね🚙文責若林,2627,622,若林,1
98,1179396306646777856,2019-10-02 23:02:46,お前やってんなぁ文責山里,1059,109,山里,0
99,1179383906866532360,2019-10-02 22:13:29,漫才のスーツ、クリーニングに出さなきゃな。二日以内に取りに行けるかな。文責若林,1544,159,若林,1
100,1179381130254061570,2019-10-02 22:02:27,その節は大変失礼いたしました。今後ともご指導ご鞭撻のほどどうぞよろしくお願い申し上げます。文責若林,1351,136,若林,1
101,1179377994793660424,2019-10-02 21:50:00,僕がオードリーのオールナイトニッポンに呼ばれた時、TBSとニッポン放送の大人たちが必死で動いて実現したというのに、僕のことをサラっと紹介して登場がぼんやりしたあの時を思い出しています。文責山里,1649,174,山里,0
102,1179377355296579584,2019-10-02 21:47:27,匂わせ慣れてないのよ若林くん、顔に近づけすぎて丸見えよ…文責山里,1012,113,山里,0
103,1179368111239258114,2019-10-02 21:10:43,「さよならたりないふたり」というタイトルは秀逸ですよね！さすが安島さん！文責若林,1750,326,若林,1
104,1179367365223555075,2019-10-02 21:07:46,匂わせてるだけだから大丈夫です。文責若林,1235,153,若林,1
105,1179355321468440576,2019-10-02 20:19:54,若林くん、聞こえるかい？大人たちの色々な声が…文責山里,1189,140,山里,0
106,1179348567405793280,2019-10-02 19:53:04,色々言いたいことがあるがとりあえず待て！馬鹿なの？文責山里,1272,181,山里,0
107,1179346038165004289,2019-10-02 19:43:01,近いなぁ。11月3日(日)かー。来年はリョータくんが忙しいか。帯のMCでもはじまるのかな？文責若林,1788,338,若林,1
108,1177524378252136449,2019-09-27 19:04:23,ふたりとも？文責山里,1270,147,山里,0
109,1177407455120113665,2019-09-27 11:19:47,だけど、次やるとしたらタイトルが難しいですよね。もう2人ともたりちゃってますもんねぇ。文責若林,2144,316,若林,1
110,1177361759281152000,2019-09-27 08:18:12,10000人を越す景色の中で漫才をやった男もそう思うのね。確かに楽しい。文責山里,1208,125,山里,0
111,1177204457441878016,2019-09-26 21:53:08,やっぱり漫才って500ぐらいのキャパがいいですよね！ 文責若林,2021,278,若林,1
112,1176867267251859456,2019-09-25 23:33:16,朝、あなたが武器を拾ったような気がしていたんです…とりあえず、こちらはあのワイプのあなたの目を例えるワードをいくつか探しておきます。文責山里,1095,118,山里,0
113,1176766936731881478,2019-09-25 16:54:35,来たるべき日に備えてリョータくんのニュースを見てはメモを取っている。毎日ペンが走ります。文責若林,1992,221,若林,1
114,1175887684532760576,2019-09-23 06:40:45,昨日の名古屋でのライブにオドぜひのスタッフさん来て言ってたよ「看板を蹴ったのは若林さんの勝手な行動でして…」って…とりあえず今日NFL倶楽部のポスター見つけて殴り返しておくね。文責山里,1175,127,山里,0
115,1175792615721033728,2019-09-23 00:22:59,是非文責若林 https://t.co/CyyhDk85Qw,1380,213,若林,1
116,1175301887010017280,2019-09-21 15:53:00,リョータ…ニヤニヤしながら急所をサラっと狙ってくる感じ…こちらは自信どころか不安だらけ、それが分かってるから自信まんまんに無理とか嘘つけるんだな…恐ろしいよマサヤス文責山里,1174,109,山里,0
117,1175259575068442625,2019-09-21 13:04:52,ちょっとやり取りしただけで分かる自信に満ち溢れたリョータの強さ。こりゃ、今は無理だな。今は絶対に無理だ。無理無理。文責若林,2017,220,若林,1
118,1175251498340470785,2019-09-21 12:32:46,ひぃ〜文責若林,1378,164,若林,1
119,1175248935171977216,2019-09-21 12:22:35,ルール変更は聞いておりませんでした。ただ、そちらが関節技もたくさん覚えたように、こちらも立ち技をいくつか手にしたと思っております。打ち込んだら大きなダメージ受けてくれそうな箇所もいくつか把握しております。文責山里,1150,139,山里,0
120,1175247061446361088,2019-09-21 12:15:09,そうそう、マウントからの攻撃ならいいよ。今後は下からは全部反則だから。文責若林,1480,182,若林,1
121,1175241961109745664,2019-09-21 11:54:53,下から狙って待っているところに強烈なストンピングを叩き込んでくる…この5年にあなたに何があったのかを一蹴り一蹴りが物語ってくれる気がします。色々あったのはこっちだけじゃないからね…文責山里,1196,155,山里,0
122,1175239342278639616,2019-09-21 11:44:28,そんなわかりやすい戦い方させないよ。あんなビッグニュースの後に。文責若林,1378,165,若林,1
123,1175238489887014912,2019-09-21 11:41:05,安島さんも同罪だな。文責若林 https://t.co/9qqu1pieEM,1003,120,若林,1
124,1175237843771215872,2019-09-21 11:38:31,相変わらずの関節祭りだな…文責若林 https://t.co/UYoLXBkWYO,1370,189,若林,1
125,1175028615441874945,2019-09-20 21:47:07,なぁ、もう少し文字に感情込めてもらえないかな？文字から棒読みが伝わってくるのよ文責山里,2002,306,山里,0
126,1174885394426429440,2019-09-20 12:18:01,そういうとこなんだよね。の説得力が5年前とは桁違いだ。文責若林,3874,784,若林,1
127,1174858429275373568,2019-09-20 10:30:52,おめでとうで恐怖を感じられたのは初めてです。なにより若林くん、もう、おめでとうも素直に受け取れなくなってるんだね…そういうとこなんだよね。文責山里,4232,1178,山里,0
128,1174853231119224832,2019-09-20 10:10:12,毎年誕生日にメールくれるんだよな。怖いなぁ。でも、そういうところかぁ…文責若林,5610,1515,若林,1
129,544759742602547201,2014-12-16 16:43:38,若林くんこんな顔できるんだ…ん？目が死んでらぁ…文責山里,330,114,山里,0
130,544701344288743425,2014-12-16 12:51:35,メリークリスマス！このDVDを、あなたの大切な人に…頑張った自分へのご褒美に…     文責若林 http://t.co/pwJY2zET7y,1633,801,若林,1
132,502081694950633473,2014-08-20 22:16:18,若林君…なんかいやらしいよ…文責山里,104,47,山里,0
133,502080939778789378,2014-08-20 22:13:18,明日の関節祭り、団扇なんか買ってもライブ中に使うところあるのかなぁ。いやぁ、無いだろうなぁ。文責若林,177,91,若林,1
134,501753371229818881,2014-08-20 00:31:40,たりないふたりサマーJAM稽古を終える。若林君の悪ふざけパワーがとんでもない…怖いくらい文責山里,151,75,山里,0
135,499418366075891715,2014-08-13 13:53:11,若林くん！うちわどころかグッズが発表されてるんだが！！！しかも、僕が反対したやつとかも！！！文責山里,135,61,山里,0
136,499363940950740992,2014-08-13 10:16:55,うちわ！？若林くん、正気かい？たりないふたりだよ？あと、何より一回相談してくれないかな？文責山里,131,70,山里,0
137,499361832729968640,2014-08-13 10:08:33,祭りってことでグッズのうちわなんかも発注しておきました。文責若林,171,104,若林,1
138,499002837649477632,2014-08-12 10:22:02,僕の「納得してない」が驚くほど皆にスルーされている…文責山里,86,35,山里,0
139,498820312620748801,2014-08-11 22:16:44,本当に！？俺はまだ納得していませんが…文責山里,122,68,山里,0
140,498819181777678336,2014-08-11 22:12:15,ライブのタイトルですが「山里関節祭り」で発注しておきました。文責若林,276,175,若林,1
141,482585790426259456,2014-06-28 03:06:33,よく考えたらゲルの中をトラックが走ってたわけですね。また、ライブでお会いしましょう。文責若林,127,39,若林,1
142,482581482834104320,2014-06-28 02:49:26,いいモンゴル人でした！文責山里,89,30,山里,0
143,482577203251519488,2014-06-28 02:32:25,モンゴル人になってゲルに入るという設定は芸歴15年目にして初めてやりました。文責若林,150,53,若林,1
144,482576688165842944,2014-06-28 02:30:22,夜遅くまでがんばって起きていただいて、漫才最後まで観てくれた方ありがとうございました。ライブも是非観に来てください。文責若林,176,78,若林,1
145,482548260100251648,2014-06-28 00:37:25,このあと、日本テレビ 25:58 ～ 「もっとたりないふたり」よろしく！文責若林,110,73,若林,1
146,482496230111469570,2014-06-27 21:10:40,今夜は違った意味で「何やってんだ！」と言っていただける夜になるかなと…文責山里,80,37,山里,0
147,482454755038347265,2014-06-27 18:25:51,「何やってんだ世代」ふたりによる30分漫才観てね〜。文責若林,123,57,若林,1
148,482452253047914496,2014-06-27 18:15:55,もっとたりないふたりについて取り上げていただきました→http://t.co/iFgXTURzLv文責若林,130,73,若林,1
149,482192815959441408,2014-06-27 01:05:00,明日の夜はもっとたりないふたり最終回。あのお笑いナタリーさんが取り上げてくれました→http://t.co/i3jRdjSlze30分全編漫才をしています。文責若林,128,85,若林,1
150,480361692728016897,2014-06-21 23:48:46,来週は「もっとたりないふたり」最終回。もしも、今クールの11回全部の録画を残しているという方がいましたら、来週金曜深夜の放送までにもう一度見直すことをオススメします。そうすると、より一層楽しめますよ。文責若林,167,129,若林,1
151,480319997328121856,2014-06-21 21:03:05,山里さん、落ち着いてください。文責若林,112,43,若林,1
152,479949716717707264,2014-06-20 20:31:44,あそこまで見せてしまってよかったのかね？あと、余談ですが「ハンカチのご用意を」も若林くんが言うと何かバカにしてるの？と思うようになってしまっている…文責山里,90,32,山里,0
153,479931148227731456,2014-06-20 19:17:57,本日6月20日深夜26時08分から「もっとたりないふたり」今回はハンカチなしでは見られない回です。放送も残すところあと二回。是非観てください。文責若林,135,115,若林,1
154,477698463375687681,2014-06-14 15:26:03,僕は若林くんの提案に「いらないだろ」と皆さんの心の代弁者としてつっこんだのですが、誰も笑ってなかったのでひいてます…文責山里,87,31,山里,0
155,477694361048596480,2014-06-14 15:09:45,たりないふたりが、夏にライブします。お笑いナタリーさんが紹介してくれているのでご覧ください→http://t.co/fYmm8KCRf7ぼくはロビーにモンゴルの馬の模型をふたつ置いて、乗り移れるようになっている体験型アートをするのはどうかと提案しました。文責若林,188,99,若林,1
156,477412705255432192,2014-06-13 20:30:33,お笑いナタリーさんが紹介してくれていました→http://t.co/6NfAnc4j9S今日2014年6月13日（金）のもっとたりないふたりは日本テレビ  26:08 ～ 26:38 です。見てください。文責若林,100,55,若林,1
157,477393084066447361,2014-06-13 19:12:35,打ち上げで、楽しいことは思い出に、腹の立ったことは水に流しましょう！と言ったら、みんなが「そうだね！」と言ってました。文責若林,166,62,若林,1
158,477384151864070144,2014-06-13 18:37:05,全員たりない漫才！たりない総大将若林君との漫才はやはり凄かった…文責山里,123,41,山里,0
159,477378543433682946,2014-06-13 18:14:48,最終回の漫才は全員野球ならぬ、全員たりないで無事終わりました！文責若林,165,71,若林,1
160,476997717839736834,2014-06-12 17:01:32,ずっとニヤニヤしながら携帯を見るあなたは確認してましたが、何も聞こえてなかったのは僕のせいなのでしょうか？文責山里,106,43,山里,0
161,476994609453604864,2014-06-12 16:49:11,最後の収録が近づいてます。お客さんを笑顔にしたいと何度も楽屋でつぶやいていると、山ちゃんもスタッフさんもうなづきが止まりません。文責若林,195,71,若林,1
162,476613164419645440,2014-06-11 15:33:28,昨日は最後のたりないの打ち合わせ。楽しいお茶会の延長のような話し合いで短時間でスパッと終わりました。最後の収録が楽しみです(^^)文責若林,143,60,若林,1
163,476010741464453121,2014-06-09 23:39:39,昨日のライブに、たりないふたりのTシャツ着てくれていた人何人かいた。ありがたい。文責若林,119,48,若林,1
164,475976037184962560,2014-06-09 21:21:45,次がラストの収録かー、寂しさで胸がしめつけられるなー。文責若林,171,75,若林,1
165,475947017689001984,2014-06-09 19:26:26,チュウ、チュウ、次がラストの収録。色々と企みチュウ。文責悪鼠,196,100,若林,1
166,475877560371277824,2014-06-09 14:50:26,心配です…悪鼠があのスタジオの外に出てしまっている…文責山里,96,35,山里,0
167,475849904682594304,2014-06-09 13:00:32,チュウ、チュウ、ロケチュウ。文責悪鼠,215,82,若林,1
168,475348459604566016,2014-06-08 03:47:58,今日は山里さんと一緒の仕事でした。確かに山ちゃんの言う通り、僕へのツッコミだけ言葉が荒くなってる。しめしめ。文責若林,139,50,若林,1
169,474943469094334465,2014-06-07 00:58:41,どの口が人にクレイジーと言ってるんでしょう…若林クレイジー正恭さんよぉ…ただ今宵のもっとたりないふたりは…怖い…文責山里,94,25,山里,0
170,474932084952166400,2014-06-07 00:13:27,本日、日本テレビ25:58〜「もっとたりないふたり」観てください。クレイジーな山ちゃんに振り回されて大変でした。あの、大ネズミめ。文責若林,133,73,若林,1
171,474186853449334784,2014-06-04 22:52:10,iPodの中にサマーソング2014というプレイリストを作りました。文責若林,182,69,若林,1
172,473458076436008962,2014-06-02 22:36:16,たりないふたりスタッフのみなさん、前回の収録のあとは山里さんの泥酔具合は大丈夫でしたか？情報お待ちしております。文責若林,96,33,若林,1
173,472379459589255168,2014-05-30 23:10:14,ウエディング情報…間違ってはいないが、本当にウエディング情報が知りたい人がアレを観たら…文責山里,54,19,山里,0
